bug_description,dev_type
Remove double asterisk symbol from toggle categories of users (check in academic admin and academic director).,Frontend
dropdown for user field and categories of users no alphabetical order,Frontend
list user in the dropdown user not displaying user and student in the title and class after I selected. there are still users and students who have not been displayed,Frontend
"When I create a step with Question and field, and I change the toggle to question/field, I cannot save the data, the button save is not activated",Frontend
"NO FR Localization on status ""Employability survey is not published"" on Employability Survey(ES) Details",Frontend
"Need to add 1 column for Student Status if the student Active, suspended, Deactivated or Completed",Frontend
"Wrong FR in column Status, it must be Status",Frontend
Student get error when accessing the form via employability survey menu or via pending task menu,Frontend
Do not display column selection checkbox if the Employability Survey is Continous Employability Survey,Frontend
"Need to add option ""Not Sent"" on the column Employability Survey1 so user can filter all the Employability Surveywhich still not sent",Frontend
Summary Step Type in Form Type Employability Survey is not displaying anything,Frontend
Sweet alert Send Employability Survey: reduce countdown to 2s only,Frontend
"Column School: Currently Filter is displaying All school in the platform, it must display only all school that connected to the Title and Class",Frontend
Send to Student button is not hidden after I successfully click on send to student and success. ,Frontend
"Employability Survey  Table: Switch column Class and Title. it must be column Title first then Class, from left to right",Frontend
Data for Send fied is not populated in the Employability Survey card,Frontend
"TASK: Validator receive task to validate the Form, but the task has no Description",Frontend
"TASK: Student receive task to do revision of Employability Survey after being rejected, but the task has NO Description",Frontend
Summary Step: Step optional that is not selected by the student must be not displayed in the summary,Frontend
List of Employabiliity survey table: I created Employability Survey Process and Template selected is not displayed in the table,Frontend
One Time ES: Task to complete ES have no Due Date and  expired date in the description displayed as undefined,Frontend
Table: Filter and sorting in column status is not working yet,Frontend
Employability Survey status is Not Sent but in table the button for reminder already displayed. It is more make sense if the button reminder displayed after the status is Sent,Frontend
"We have 2 status column in the Employability Survey Parameter table, but we still only have 1 in Employability Survey Result table. I think we need to make it the same as in Employability Survey parameter, so it is consistent",Frontend
"In Employability Survey List Table, Filter on Column Class has to be cascade after filter title",Frontend
There is no radio button for Relative Date and Exact Date in the Step 1: Employability Survey Parameter for Continuous Employability Survey ,Frontend
